date,title,company,location,detail,sector,skill,link
N/A,IT BUSINESS & PROCESS ANALYST,BNP Paribas Leasing Solutions,"Istanbul, Türkiye",Hybrid Full-time Associate,"1,001-5,000 employees · Banking","Analytical Skills, Analytics, Business, Business Analysis, Business Development, Business Solution, Change Requests, Communication, English, Problem Solving, Teamwork, and Test Management",https://www.linkedin.com/jobs/view/3939056869/?eBP=CwEAAAGQJuLOjDYGm0pZKhhtaMmM3_NOyPNqpUjWbA8j_7GLlrc5Ibxqz7xupr1RjH0EXGe7_siaVdD_pnAk7jM0lGzeGmBA_YwnxcTfaRlPselpXBMG0HGBrg4dNc0QgN6tPmVD2K74xb3jutgPvM9uS-p1bjlBRXbDxFS96pkktLut3DB2JSmJKsbnmpbh0StzcQLhZpE7-oYuhA_gF1KWffEHyLZpd2lAg2uvXsi37Y0gMXIxQZqol0D3dm5-AhgzDNZEEmvM28y-1CvSZIw6LVNTvKDLm92g2ijZwcuiTBy7XKQGi5VuMLDA5juh7LvtsGxyUuquzVLUNTPRs1DV1LvKVtp3SdCwVW1faUfSJCC1vpGJcNxrUAwahVcGrwkFGbeZEtye_vPyyR2a78BMz9Q9ZEzdDAiS4xRcpbInU7NKXKefGvJJA3YqwYfYBs8zRCnrEY0SHRj0Mvoaq6QkYn9fKPxYAw&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=x%2FFntt2o8Bx%2FZWuZwSeA5Q%3D%3D&trk=flagship3_search_srp_jobs
N/A,Business Analyst,Essentra,"Istanbul, Türkiye",Hybrid Full-time Associate,"5,001-10,000 employees · Manufacturing","Agile Methodologies, Business Analysis, E-Commerce, Jira, and Requirements Analysis",https://www.linkedin.com/jobs/view/3926676151/?eBP=CwEAAAGQJuLOjPLuyDxAnbgAFDoti3hFstcgqybwth0GmU9hsCBwPqd06Pyh-tDV-5PgMrIqPdC7GFA4vwJOyw7rIrUj9bwbiuqGIWaC4JWNrV0SIpLZ51BrwDFZeTn4c4QOhrCk8zJHbVnE5P6CFlQ5yEuoWme556Dsc5FFfT1VV5xbF5mI7xigwqZaqLEPoYmnZZPPH16SGslN37H3eC68aRAfO4FqGzVz2MOXxSTYZxzxHhJQCuXUJXaFqTuKvlCPa9FpeO98kWWmauh4EPAH_y7zwURJW1_UO72x4Ul3kpHXr0MHpi4a-Rq7wgu0_qxPdlIE-W41yFltGqZc9p6JPW8Fdp8Wq9jgQo1e8nrFL1hS2ofbAi_0taZO0UAXIRZf3sven8d8Y5r8SjfSt9LFd1n0Q8lAvfCwwf6q5I18RHjZnUqi_pwoL-86UiqCVwLqWfaxMeB6DawNOrIyclVt7NNAQAqtESuV&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=Ce3sFViQ4VEjFdTGcjXzaA%3D%3D&trk=flagship3_search_srp_jobs
N/A,"Senior Analyst (Bangkok-based, Relocation provided)",Agoda,"İstanbul, Türkiye",Full-time Mid-Senior level,"5,001-10,000 employees · Software Development","A/B Testing, Analytics, Business Insights, Communication, Data Analytics, Data Modeling, Data Science, Interpersonal Communication, Presentations, and Stakeholder Management",https://www.linkedin.com/jobs/view/3936100929/?eBP=CwEAAAGQJuLOjKoeBoSAV_BcpmeHz9SCGa_fTUs9Vr2T2JJZnPF60nAZzDnOifcWtAWs9TWeJGLw1D2QXC2LEaBX3XnYIlM58ytlOquu6lXh8513CIx6o6Z3nQarfIAsRsc8-s7RU5AknJsbGZ-9gVBZ_WtjXnl6S65ohVjuHyHJc7dePzClGDSCjOvq_BTDe5RkWn_f6ZeRTOzVQxC8tRlWAKSmxG-B5IsnBrn3pFaNxQ8vIlQMWqAPl4-0HYFmBv4sq9YKl6oGAWOY1ltxXw0k6V1c763S17BaW3DKjC8V6CKwiQeowiR63Ff6dnecagBbU_WbIMtYp0LSZ9CA5_3aGha27ryK2pBSozNUbCGc7oT8scNlzwuqaEXiDaHYfkVSKQBzPQa0-bKVH9dDxETvNeZoxCc0XBIF2VL8Rg20p--HAt-J7eWWPhaXHdDJ65cWxIh98R51TUwspBWj0zZIGwibP20&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=dfRKDsUzeaHrIj%2FzlhNv9A%3D%3D&trk=flagship3_search_srp_jobs
N/A,Senior Information Technology Analyst,Hedef Filo,"Kâğıthane, Istanbul, Türkiye",Hybrid Full-time Associate,51-200 employees · Financial Services,"Business Analysis, Customer Relationship Management (CRM), JSON, Project Management, SOAP, SQL, Salesforce.com, Software Development, Software Development Life Cycle (SDLC), and XML",https://www.linkedin.com/jobs/view/3910034349/?eBP=CwEAAAGQJuLOjErWsCIaAoMRYW6pPKBL55prjOxbDiEV2eFEiapwAdc8CBrmPNaIFiGmP6JX3pO-HIEpdt7HfO7YZvizg_YJTksG_HDkwm61RIuCdf7hK-Eo513eIEmbVQeed6svF8fKUS50RqoVlGp4ct09HJnoWhf6RlJayrqGt8Ty33H52vNaxJOjlTPmns6MAwNTweann7JkLU3mHElo1tGpnloA6XUmShqBfWZfaI96ix1lIYU0NReYUQO94DCkgouAsZFAl2iyskDfzFcteiTWx1J4H4CmH5kEuZLLPxqM375FYG1bnMut7XJf2y-eRYm1hCs0yJr5fZxOsj6YgJ94BJ1v3u6BxPruvUENM5wuFnKpBw37aSMHxMTqbmOFuAWnO5P2iJjm3gpNlyDayRz-Dj-cBocZ_LPIZFtx33d2-_miMxY5jnp5b7U4MIhACyQKry8Ic5vqv6vvXt8mbGH9jnAOwXpd&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=BR%2FTO%2FXTBGuaWQiyMASkYw%3D%3D&trk=flagship3_search_srp_jobs
N/A,Senior Analyst - Asset Optimization ,ACWA Power,"Istanbul, Türkiye",On-site Full-time Mid-Senior level,"1,001-5,000 employees · Utilities","Asset Management, Asset Planning, Energy Industry, MATLAB, Optimization Strategies, Python (Programming Language), Strategic Thinking, Transact-SQL (T-SQL), and Turkish",https://www.linkedin.com/jobs/view/3935064426/?eBP=CwEAAAGQJuLOjN1JYWarUmVsHDdrQWxD0QDDOKl2vLgNQrJiYG5VNCvumlBju2hY28x7F8_Rde8bnx19R3YcTWyPQ9LRa_0k2x3gK4EKb9CFk1FuNa1tdEfsYPZT0FviLppsigUvklk5Ewlc31hwv2KDLel74xi5wubDKfzs3wmIKRejzJylLLyIu5P_iMIegwF8Pk5y9a-0z08-81y51YH0DE1BbjHYHfUhPLz4t3p3KnCdvI16TBKyjPrTI1K30hHOU995Cd_hB7SSf9-CWM4VJqhI4fs7Wivagla9tUAosDexWVbc4a6Cjw_-Kjikl7CLt_KkdhvLP6YP85Y4n8kJTkv63QJfVmS0H8BMfPjlqZqLdfh9ae4KP4dZPRuPj2cu7Fm8I5uatqv4rKGufNYqGORO-2K_HIpNnTcNwhserwyLVqviNSj920jhZasFCIpe0DBYp3RJ-gjdCDPhX0Vvei1I-7GQtw&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=Nbkek0MJ%2FdXOp6QubeEuBA%3D%3D&trk=flagship3_search_srp_jobs
N/A,"Senior Analyst / Analyst (Bangkok Based, relocation provided)",Agoda,"İstanbul, Türkiye",Full-time Associate,"5,001-10,000 employees · Software Development","Ad Serving, Analytical Skills, Communication, Computer Science, Digital Marketing, Mathematics, Microsoft Excel, Reasoning Skills, Statistics, and Text Ads",https://www.linkedin.com/jobs/view/3791652162/?eBP=CwEAAAGQJuLOjCGn3QhFhlGyS0Vv15lj8TpD8zPrXXJnz4MVEq7a7XwCMXLpwWh7d4D6NVV0PqUQDW05dGMyJA5N10txXKUNnpWUvB_YQwiDE-Irakw9fJD7nJNNJ0QkVDNQN9LfnFOyijBJi2YGretRIAq840UqEsG8eyuMGxrEBX3SkcM8PDOo-Wn6Kw9-vUfL6laEv0X4rDaMWFtgr1r73bZt5ZRvf05fnaei0DrPqzuvuwzSn9XbitqnYMr7UriUkIP7HchmfTbDHbHsCVur3dK01b_0496Zijplko1eA3q7O-yBB8BRroLVMxhcePLY2rc9bEX69WirllrWTpufW4Bh-8-fok3_g6aumpcHj5XW40igzVrB2xKgd1OjtcsRwKmfR5nMyug8IgHZU1czF6u4IF7Qy1Ei6V7hydE1f27spsVLTsVNDB8vrtwolmtD0kRUYaZHpQmrFhZgDZL-ImNWo01DLg&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=W210mkhUIdScN7GM%2FFJLuQ%3D%3D&trk=flagship3_search_srp_jobs
N/A,Financial Analyst,Scorp,"Istanbul, Türkiye",On-site Full-time Mid-Senior level,201-500 employees · Software Development,"Budgeting, Budgeting & Forecasting, Financial Data, Financial Planning, Financial Reporting, International Companies, Management Accounting, Problem Solving, Quick Thinking, and Variance Analysis",https://www.linkedin.com/jobs/view/3870589870/?eBP=CwEAAAGQJuLOjJkRcWomh7pjGgzNmaH4LQcIeDMVsptbcvimx9eWGLi93kcCuJhP3xmYukE9IzP00I5Atrdreb0GvfKs9t5Oa9YbwUBGZ3QO7CWIyRdNdmh6xOqkGmA40_ZcXStWod16HQVZpnQLeOZv9p0dCHpn0Q0FrQ5MiPvag-ijMpKOar93xl6c00bEJXuGWL3izmNRauTQShUEPB2I3Q05Y7U5k1iJeEsYyPPO9MwW_zzAThWvqSNSs0sirl-9eg4xH9JuBP-mJ5cLktSHrvh62yH1LQSjWqhsdBp8FLPEkjYXM3Q4O2MDzBBVCSVFhgNsJaLLobOn_WVb0Nx1EajZ2eRd1l6noqX0262g8i9P_FqtMnDByljDqHwslCuBDt8MLyeY9-Xr7Zdbm-of7aLKBgNcL7vr1QQopIWucJj0Yejk921Jm_Z4i2s0qn0E2-1Fjif60xR-vHOPFBZ_GJIAzOCBs-EF&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=aCp4nvy68f1kz1XhLzuK9w%3D%3D&trk=flagship3_search_srp_jobs
N/A,Compliance Analyst,OKX,Greater Istanbul,Hybrid Full-time Associate,"1,001-5,000 employees · IT Services and IT Consulting","Analytical Skills, Anti-Money Laundering, Communication, Compliance Management, KYC Verification, Presentation Skills, Problem Solving, Regulatory Compliance, Sanction, and Turkish",https://www.linkedin.com/jobs/view/3935765608/?eBP=CwEAAAGQJuLOjMSCgx0bCH9zFQrxdwUrdcvgagtooLxCI6ExpgYRUo5tPg6QuiG81YuAqkHRH9umwy57Y-nh4AywwzzqXqj2-gi_-h2h0ZITjsbzlmCVyzmAhJKjLWVgejiVKE1Bw7xDi8mYSD_dwkpabdT_dfLYtw12wfPWJVTZvHqyI0DNsETnOrbhYE_btOI6lkmoKsQ0VidO8dYX-1IoAzJcz-5lljysruc9SYODWq0-6TB73I8Dqpoe0466sxktoiWqSuU3o9r-K2ryDjR92C0bALtNUqnJ3imDsiP1l4GONYUTmZ39-8_0ZAARiGs9PcxKc1dLOjKIcHJ9COJwiWD_2LqV_2NG_6AELi5BUnkLqGDSYKm5HbcCC6aLxbYNPTjDKHFEn6B7-N7NyUbp1oJmPW8ReIdzj2Y8cZ0c5q08xxfPmMyKowVC6uPxpTBrYOeQJ25Gm-wSHDlbBxjvfcyTwfKSa3nT&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=ud96KEjrVCgmK2tqFfLkEw%3D%3D&trk=flagship3_search_srp_jobs
N/A,Compliance Analyst,OKX,"Istanbul, Türkiye",On-site Full-time Associate,"1,001-5,000 employees · IT Services and IT Consulting","Analytical Skills, Anti-Money Laundering, CTF, Communication, Compliance Management, KYC Verification, Presentation Skills, Regulatory Compliance, Sanction, and Turkish",https://www.linkedin.com/jobs/view/3928805382/?eBP=CwEAAAGQJuLOjGaCb-OY-u3gFtpkTBVzJMNOjYs8oNXXBednBJWMDOLl_SWRA1hmBiTP98ls57PzLTmN0lUiqwT_YHDdhGTcVpkB18g3MCUQCVYXWn9CBTTPk4bHQ6jGjNyAcllYRG9ctZIynYIp5Su9yPz-mw0v7yPfzi5QXoL_stJ-z-4aKp-sDGHwl4VEAQ0l43H_vY61M22ustkhwew9vijH3N6D74zXWCMllTBAFoKGWwTAUZrue9EfdFSXbmKVI0JyZtJGyqT0sObwVyevXNBzVD7bCKMWB8pIvO2hyDT6D2ggpizUAZk6PkcMKSiSr-QrFG_fxEYgR95a7FsrrM50u7A9mApGBIdRxoTIzOcoZB4mbNERaXd2XSno2nqiy_IKMC8aXFXEeLqY1Li0YQ0eoCYQokrtY7MtNsad1mawdPtt91hrgoprTjqQyOHTCQXuaoX0iPOynpTl6h81AXPR6kNO-R7b&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=afKpkadO6nuPIASsHPd9nw%3D%3D&trk=flagship3_search_srp_jobs
N/A,Senior Business Analyst,DİAS Teknoloji,"İzmir, Türkiye",Hybrid Full-time Mid-Senior level,"501-1,000 employees · IT System Custom Software Development","Business Analysis, Business Requirements, ERD, Lucidchart, Scenario Testing, Sequence Diagrams, Software Requirements, Solution-oriented, Technical Documentation, and Technical Drawing",https://www.linkedin.com/jobs/view/3947286937/?eBP=CwEAAAGQJuLOjNUN1BgcrY5kdGHBCFPCT5EutG9P96fedsjtgJuR7Juz-yV67aq61urny-Ea-yLJiRgXR9IYCqu9-zPA_GYHGx3-aocy4kvn3rEDkspMq0AruNJgioh_iD6bDjfn3xTe3NmBmSio2zk9CkTgQQIKSQ1VnqQGKpbdZSuhm28Sakhzh2TuvQ5bKn2rlKZZQd9bxzPl3ZzdOOdd0DBfNNzkEP0mBNtYjtvUH-O5wYJsEqcOsWD3Hutv7aBPwbSWcf6SNoaXRncrWUw9QDyn3B0LefS4aT6ez69UzewouDSSdQW0ux231PD-xcJgZgWWGmDcc_6aE6wJ8IgMlm_qlh9we2s0E-8JuAgQLYpZQ4vyJltTxqEnZYDlJr9fMk1el4S2J-k-sJuWZbbGtWr7vGLgFwgaKCS2hOmk-rd7pifzhywLX7x7s6UBfEwmVgTbcxngYqj-yN-QrSmF6qDOjsBi9_rR8ag&refId=AX98pedJLjcjZKtEOHMHkQ%3D%3D&trackingId=N7yrZaVGWuuIJUuTN996iA%3D%3D&trk=flagship3_search_srp_jobs
